setmana_epidemiologica,any,data_inici,data_final,codi_regio,nom_regio,codi_ambit,nom_ambit,sexe,grup_edat,index_socioeconomic,total,positiu
38,2023,18/09/2023,24/09/2023,79,Barcelona Ciutat,79,Barcelona Ciutat,Dona,0,3,1,1
3,2023,16/01/2023,22/01/2023,62,Camp de Tarragona,62,Camp de Tarragona,Dona,70 a 74,4,2,1
1,2023,02/01/2023,08/01/2023,64,Girona,64,Girona,Dona,60 a 64,3,3,3
8,2023,20/02/2023,26/02/2023,79,Barcelona Ciutat,79,Barcelona Ciutat,Dona,60 a 64,2,1,0
23,2022,06/06/2022,12/06/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,75 a 79,3,2,1
2,2023,09/01/2023,15/01/2023,64,Girona,64,Girona,Home,75 a 79,3,2,1
23,2022,06/06/2022,12/06/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Home,75 a 79,3,1,1
5,2023,30/01/2023,05/02/2023,61,Lleida,61,Lleida,Dona,25 a 29,2,1,0
50,2022,12/12/2022,18/12/2022,67,Catalunya Central,67,Catalunya Central,Home,55 a 59,4,1,1
48,2022,28/11/2022,04/12/2022,61,Lleida,61,Lleida,Home,3 i 4,3,1,1
20,2022,16/05/2022,22/05/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Home,65 a 69,3,1,1
7,2023,13/02/2023,19/02/2023,70,Penedès,70,Penedès,Home,20 a 24,4,1,1
47,2022,21/11/2022,27/11/2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Home,50 a 54,3,1,1
31,2023,31/07/2023,06/08/2023,62,Camp de Tarragona,62,Camp de Tarragona,Dona,40 a 44,4,1,0
14,2023,03/04/2023,09/04/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,0,2,1,1
44,2022,31/10/2022,06/11/2022,70,Penedès,70,Penedès,Home,0,3,2,2
13,2023,27/03/2023,02/04/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Home,1 i 2,4,1,0
42,2023,16/10/2023,22/10/2023,64,Girona,64,Girona,Home,15 a 19,3,2,2
10,2023,06/03/2023,12/03/2023,79,Barcelona Ciutat,79,Barcelona Ciutat,Dona,30 a 34,2,2,2
28,2023,10/07/2023,16/07/2023,61,Lleida,61,Lleida,Home,45 a 49,4,2,1
5,2023,30/01/2023,05/02/2023,79,Barcelona Ciutat,79,Barcelona Ciutat,Dona,15 a 19,2,2,1
8,2023,20/02/2023,26/02/2023,61,Lleida,61,Lleida,Dona,10 a 14,4,4,4
41,2023,09/10/2023,15/10/2023,61,Lleida,61,Lleida,Home,70 a 74,2,1,0
10,2023,06/03/2023,12/03/2023,62,Camp de Tarragona,62,Camp de Tarragona,Dona,45 a 49,3,2,0
15,2023,10/04/2023,16/04/2023,62,Camp de Tarragona,62,Camp de Tarragona,Dona,50 a 54,4,1,1
17,2023,24/04/2023,30/04/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Home,40 a 44,3,1,0
7,2023,13/02/2023,19/02/2023,64,Girona,64,Girona,Home,40 a 44,3,3,2
13,2023,27/03/2023,02/04/2023,70,Penedès,70,Penedès,Dona,55 a 59,3,1,0
51,2022,19/12/2022,25/12/2022,61,Lleida,61,Lleida,Dona,70 a 74,4,2,1
50,2022,12/12/2022,18/12/2022,64,Girona,64,Girona,Home,10 a 14,3,2,2
28,2022,11/07/2022,17/07/2022,63,Terres de l'Ebre,63,Terres de l'Ebre,Dona,80 o més,3,1,1
51,2022,19/12/2022,25/12/2022,70,Penedès,70,Penedès,Home,45 a 49,3,1,1
12,2023,20/03/2023,26/03/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Home,80 o més,4,1,0
17,2023,24/04/2023,30/04/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,60 a 64,4,3,2
13,2024,25/03/2024,31/03/2024,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,70 a 74,4,2,2
40,2022,03/10/2022,09/10/2022,64,Girona,64,Girona,Dona,35 a 39,3,1,0
3,2023,16/01/2023,22/01/2023,79,Barcelona Ciutat,79,Barcelona Ciutat,Home,80 o més,3,1,1
44,2023,30/10/2023,05/11/2023,79,Barcelona Ciutat,79,Barcelona Ciutat,Dona,65 a 69,2,1,1
7,2023,13/02/2023,19/02/2023,61,Lleida,61,Lleida,Home,30 a 34,4,1,1
38,2022,19/09/2022,25/09/2022,62,Camp de Tarragona,62,Camp de Tarragona,Dona,30 a 34,4,2,1
52,2022,26/12/2022,01/01/2023,61,Lleida,61,Lleida,Dona,70 a 74,4,1,1
30,2022,25/07/2022,31/07/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Dona,15 a 19,3,1,0
47,2022,21/11/2022,27/11/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Home,10 a 14,2,1,1
1,2023,02/01/2023,08/01/2023,79,Barcelona Ciutat,79,Barcelona Ciutat,Dona,80 o més,3,1,1
20,2022,16/05/2022,22/05/2022,70,Penedès,70,Penedès,Dona,60 a 64,4,1,1
5,2023,30/01/2023,05/02/2023,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Dona,35 a 39,4,1,1
37,2022,12/09/2022,18/09/2022,61,Lleida,61,Lleida,Home,25 a 29,4,1,0
8,2023,20/02/2023,26/02/2023,67,Catalunya Central,67,Catalunya Central,Home,3 i 4,4,1,1
42,2022,17/10/2022,23/10/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Home,30 a 34,4,1,1
23,2023,05/06/2023,11/06/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,45 a 49,4,2,1
7,2023,13/02/2023,19/02/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Home,40 a 44,4,1,0
8,2023,20/02/2023,26/02/2023,67,Catalunya Central,67,Catalunya Central,Home,30 a 34,4,1,1
1,2023,02/01/2023,08/01/2023,79,Barcelona Ciutat,79,Barcelona Ciutat,Home,80 o més,3,1,1
14,2023,03/04/2023,09/04/2023,64,Girona,64,Girona,Dona,40 a 44,3,3,2
29,2023,17/07/2023,23/07/2023,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Dona,65 a 69,3,1,1
42,2022,17/10/2022,23/10/2022,62,Camp de Tarragona,62,Camp de Tarragona,Home,25 a 29,3,1,1
6,2023,06/02/2023,12/02/2023,64,Girona,64,Girona,Dona,1 i 2,3,1,1
15,2023,10/04/2023,16/04/2023,79,Barcelona Ciutat,79,Barcelona Ciutat,Dona,1 i 2,4,1,1
35,2022,29/08/2022,04/09/2022,62,Camp de Tarragona,62,Camp de Tarragona,Dona,50 a 54,3,1,1
13,2024,25/03/2024,31/03/2024,79,Barcelona Ciutat,79,Barcelona Ciutat,Dona,60 a 64,3,1,0
17,2023,24/04/2023,30/04/2023,61,Lleida,61,Lleida,Dona,55 a 59,2,1,1
28,2023,10/07/2023,16/07/2023,61,Lleida,61,Lleida,Home,40 a 44,4,1,0
37,2022,12/09/2022,18/09/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Home,40 a 44,4,1,0
28,2022,11/07/2022,17/07/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Dona,80 o més,2,1,1
1,2023,02/01/2023,08/01/2023,71,Alt Pirineu i Aran,71,Alt Pirineu i Aran,Dona,70 a 74,3,1,1
21,2022,23/05/2022,29/05/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Home,35 a 39,4,3,3
39,2022,26/09/2022,02/10/2022,64,Girona,64,Girona,Home,30 a 34,3,1,1
23,2022,06/06/2022,12/06/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,70 a 74,3,1,1
12,2023,20/03/2023,26/03/2023,61,Lleida,61,Lleida,Dona,20 a 24,4,3,1
13,2024,25/03/2024,31/03/2024,79,Barcelona Ciutat,79,Barcelona Ciutat,Home,45 a 49,3,1,0
24,2023,12/06/2023,18/06/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,50 a 54,2,1,1
4,2023,23/01/2023,29/01/2023,62,Camp de Tarragona,62,Camp de Tarragona,Home,65 a 69,2,1,0
44,2022,31/10/2022,06/11/2022,61,Lleida,61,Lleida,Dona,50 a 54,4,2,1
17,2023,24/04/2023,30/04/2023,61,Lleida,61,Lleida,Home,60 a 64,4,1,1
1,2023,02/01/2023,08/01/2023,79,Barcelona Ciutat,79,Barcelona Ciutat,Home,80 o més,4,1,1
33,2023,14/08/2023,20/08/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,45 a 49,3,2,0
17,2023,24/04/2023,30/04/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Home,10 a 14,4,2,2
20,2022,16/05/2022,22/05/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,45 a 49,4,3,3
38,2022,19/09/2022,25/09/2022,63,Terres de l'Ebre,63,Terres de l'Ebre,Dona,40 a 44,3,1,1
1,2023,02/01/2023,08/01/2023,61,Lleida,61,Lleida,Dona,55 a 59,4,1,0
20,2023,15/05/2023,21/05/2023,61,Lleida,61,Lleida,Home,1 i 2,4,2,2
40,2023,02/10/2023,08/10/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Home,45 a 49,4,1,1
31,2022,01/08/2022,07/08/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,75 a 79,4,1,1
30,2022,25/07/2022,31/07/2022,67,Catalunya Central,67,Catalunya Central,Dona,20 a 24,4,1,0
16,2023,17/04/2023,23/04/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,40 a 44,3,2,0
37,2022,12/09/2022,18/09/2022,70,Penedès,70,Penedès,Home,45 a 49,3,1,0
43,2023,23/10/2023,29/10/2023,64,Girona,64,Girona,Dona,55 a 59,3,5,4
6,2023,06/02/2023,12/02/2023,79,Barcelona Ciutat,79,Barcelona Ciutat,Home,25 a 29,2,1,0
39,2022,26/09/2022,02/10/2022,64,Girona,64,Girona,Home,25 a 29,3,1,0
38,2023,18/09/2023,24/09/2023,61,Lleida,61,Lleida,Dona,70 a 74,4,1,0
13,2023,27/03/2023,02/04/2023,79,Barcelona Ciutat,79,Barcelona Ciutat,Home,5 a 9,4,2,0
37,2023,11/09/2023,17/09/2023,63,Terres de l'Ebre,63,Terres de l'Ebre,Dona,55 a 59,3,1,0
7,2023,13/02/2023,19/02/2023,62,Camp de Tarragona,62,Camp de Tarragona,Home,25 a 29,3,2,2
43,2022,24/10/2022,30/10/2022,63,Terres de l'Ebre,63,Terres de l'Ebre,Dona,80 o més,3,1,1
20,2022,16/05/2022,22/05/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,15 a 19,3,1,1
9,2023,27/02/2023,05/03/2023,70,Penedès,70,Penedès,Dona,40 a 44,3,1,1
9,2023,27/02/2023,05/03/2023,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Dona,75 a 79,3,2,1
13,2024,25/03/2024,31/03/2024,61,Lleida,61,Lleida,Dona,55 a 59,2,1,0
11,2023,13/03/2023,19/03/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,40 a 44,3,3,2
4,2023,23/01/2023,29/01/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,25 a 29,3,2,2
18,2023,01/05/2023,07/05/2023,79,Barcelona Ciutat,79,Barcelona Ciutat,Dona,0,3,1,1
24,2023,12/06/2023,18/06/2023,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Dona,45 a 49,3,2,0
39,2022,26/09/2022,02/10/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,70 a 74,4,1,1
43,2022,24/10/2022,30/10/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Dona,65 a 69,3,2,1
19,2023,08/05/2023,14/05/2023,64,Girona,64,Girona,Dona,0,3,2,2
22,2023,29/05/2023,04/06/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,60 a 64,4,2,2
10,2023,06/03/2023,12/03/2023,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Home,45 a 49,2,2,2
44,2022,31/10/2022,06/11/2022,61,Lleida,61,Lleida,Dona,30 a 34,4,2,1
21,2022,23/05/2022,29/05/2022,64,Girona,64,Girona,Home,35 a 39,3,2,1
4,2023,23/01/2023,29/01/2023,63,Terres de l'Ebre,63,Terres de l'Ebre,Home,65 a 69,3,1,1
42,2022,17/10/2022,23/10/2022,62,Camp de Tarragona,62,Camp de Tarragona,Home,40 a 44,4,2,0
49,2022,05/12/2022,11/12/2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Dona,15 a 19,2,1,1
32,2023,07/08/2023,13/08/2023,70,Penedès,70,Penedès,Dona,10 a 14,3,2,1
23,2022,06/06/2022,12/06/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,40 a 44,4,1,0
34,2023,21/08/2023,27/08/2023,71,Alt Pirineu i Aran,71,Alt Pirineu i Aran,Dona,70 a 74,3,1,0
35,2023,28/08/2023,03/09/2023,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Dona,60 a 64,3,1,1
13,2023,27/03/2023,02/04/2023,79,Barcelona Ciutat,79,Barcelona Ciutat,Dona,55 a 59,3,2,1
42,2023,16/10/2023,22/10/2023,64,Girona,64,Girona,Home,65 a 69,3,1,0
13,2024,25/03/2024,31/03/2024,61,Lleida,61,Lleida,Dona,40 a 44,4,1,1
48,2022,28/11/2022,04/12/2022,64,Girona,64,Girona,Dona,35 a 39,3,1,1
4,2023,23/01/2023,29/01/2023,79,Barcelona Ciutat,79,Barcelona Ciutat,Home,15 a 19,3,1,1
43,2023,23/10/2023,29/10/2023,61,Lleida,61,Lleida,Dona,1 i 2,4,1,1
7,2023,13/02/2023,19/02/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,25 a 29,4,2,1
38,2022,19/09/2022,25/09/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Home,75 a 79,3,1,0
17,2023,24/04/2023,30/04/2023,79,Barcelona Ciutat,79,Barcelona Ciutat,Home,65 a 69,4,1,1
12,2023,20/03/2023,26/03/2023,61,Lleida,61,Lleida,Dona,70 a 74,2,1,0
40,2023,02/10/2023,08/10/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,45 a 49,4,2,1
5,2023,30/01/2023,05/02/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,15 a 19,3,1,0
35,2022,29/08/2022,04/09/2022,70,Penedès,70,Penedès,Dona,80 o més,4,1,0
2,2023,09/01/2023,15/01/2023,62,Camp de Tarragona,62,Camp de Tarragona,Dona,75 a 79,4,3,2
32,2022,08/08/2022,14/08/2022,64,Girona,64,Girona,Home,25 a 29,3,1,1
13,2024,25/03/2024,31/03/2024,64,Girona,64,Girona,Home,60 a 64,3,1,1
38,2022,19/09/2022,25/09/2022,62,Camp de Tarragona,62,Camp de Tarragona,Dona,80 o més,4,1,0
25,2023,19/06/2023,25/06/2023,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Home,75 a 79,2,1,0
39,2022,26/09/2022,02/10/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Home,20 a 24,4,1,1
40,2023,02/10/2023,08/10/2023,62,Camp de Tarragona,62,Camp de Tarragona,Dona,25 a 29,4,1,0
23,2023,05/06/2023,11/06/2023,64,Girona,64,Girona,Home,45 a 49,3,2,1
49,2022,05/12/2022,11/12/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,65 a 69,4,1,0
43,2023,23/10/2023,29/10/2023,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Dona,40 a 44,3,2,0
13,2024,25/03/2024,31/03/2024,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,30 a 34,3,1,0
31,2022,01/08/2022,07/08/2022,61,Lleida,61,Lleida,Dona,10 a 14,4,1,1
2,2023,09/01/2023,15/01/2023,64,Girona,64,Girona,Home,10 a 14,3,1,1
51,2022,19/12/2022,25/12/2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Home,35 a 39,2,1,1
5,2023,30/01/2023,05/02/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,65 a 69,4,2,0
38,2022,19/09/2022,25/09/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Home,10 a 14,3,1,0
52,2022,26/12/2022,01/01/2023,70,Penedès,70,Penedès,Home,1 i 2,-1,1,1
13,2024,25/03/2024,31/03/2024,61,Lleida,61,Lleida,Home,5 a 9,3,1,0
43,2022,24/10/2022,30/10/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Home,65 a 69,1,1,1
13,2024,25/03/2024,31/03/2024,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Home,35 a 39,3,2,1
8,2023,20/02/2023,26/02/2023,62,Camp de Tarragona,62,Camp de Tarragona,Home,55 a 59,3,1,1
13,2023,27/03/2023,02/04/2023,61,Lleida,61,Lleida,Dona,45 a 49,4,1,0
16,2023,17/04/2023,23/04/2023,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Home,75 a 79,3,1,0
27,2022,04/07/2022,10/07/2022,63,Terres de l'Ebre,63,Terres de l'Ebre,Dona,55 a 59,3,2,1
4,2023,23/01/2023,29/01/2023,61,Lleida,61,Lleida,Dona,50 a 54,2,2,1
44,2022,31/10/2022,06/11/2022,61,Lleida,61,Lleida,Dona,0,4,1,1
33,2022,15/08/2022,21/08/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,70 a 74,4,1,1
19,2023,08/05/2023,14/05/2023,62,Camp de Tarragona,62,Camp de Tarragona,Dona,55 a 59,4,1,0
12,2023,20/03/2023,26/03/2023,70,Penedès,70,Penedès,Home,60 a 64,4,1,0
45,2023,06/11/2023,12/11/2023,64,Girona,64,Girona,Home,45 a 49,3,1,0
49,2022,05/12/2022,11/12/2022,63,Terres de l'Ebre,63,Terres de l'Ebre,Dona,65 a 69,3,1,1
13,2024,25/03/2024,31/03/2024,79,Barcelona Ciutat,79,Barcelona Ciutat,Home,1 i 2,3,3,2
36,2023,04/09/2023,10/09/2023,70,Penedès,70,Penedès,Home,0,3,1,1
7,2023,13/02/2023,19/02/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Home,45 a 49,3,1,1
28,2022,11/07/2022,17/07/2022,64,Girona,64,Girona,Dona,25 a 29,3,1,0
47,2022,21/11/2022,27/11/2022,70,Penedès,70,Penedès,Home,1 i 2,-1,1,1
49,2022,05/12/2022,11/12/2022,67,Catalunya Central,67,Catalunya Central,Dona,20 a 24,4,1,1
20,2022,16/05/2022,22/05/2022,62,Camp de Tarragona,62,Camp de Tarragona,Home,30 a 34,3,1,0
29,2023,17/07/2023,23/07/2023,61,Lleida,61,Lleida,Dona,45 a 49,4,1,0
45,2022,07/11/2022,13/11/2022,70,Penedès,70,Penedès,Home,0,3,1,0
13,2024,25/03/2024,31/03/2024,79,Barcelona Ciutat,79,Barcelona Ciutat,Home,45 a 49,1,1,0
47,2022,21/11/2022,27/11/2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Home,65 a 69,2,2,2
12,2023,20/03/2023,26/03/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,35 a 39,3,2,1
37,2022,12/09/2022,18/09/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,3 i 4,3,1,1
35,2023,28/08/2023,03/09/2023,79,Barcelona Ciutat,79,Barcelona Ciutat,Dona,30 a 34,2,1,1
6,2023,06/02/2023,12/02/2023,64,Girona,64,Girona,Dona,15 a 19,2,1,1
42,2022,17/10/2022,23/10/2022,61,Lleida,61,Lleida,Home,20 a 24,4,1,1
13,2024,25/03/2024,31/03/2024,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Home,20 a 24,2,1,1
5,2023,30/01/2023,05/02/2023,61,Lleida,61,Lleida,Home,55 a 59,4,1,1
37,2022,12/09/2022,18/09/2022,64,Girona,64,Girona,Home,5 a 9,3,2,1
33,2023,14/08/2023,20/08/2023,61,Lleida,61,Lleida,Home,30 a 34,4,1,1
13,2023,27/03/2023,02/04/2023,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Home,80 o més,2,1,0
41,2022,10/10/2022,16/10/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Home,80 o més,2,1,1
13,2024,25/03/2024,31/03/2024,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,50 a 54,3,1,1
28,2023,10/07/2023,16/07/2023,61,Lleida,61,Lleida,Dona,80 o més,2,1,1
9,2023,27/02/2023,05/03/2023,71,Alt Pirineu i Aran,71,Alt Pirineu i Aran,Dona,75 a 79,3,1,1
29,2023,17/07/2023,23/07/2023,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Dona,35 a 39,2,1,0
47,2022,21/11/2022,27/11/2022,62,Camp de Tarragona,62,Camp de Tarragona,Dona,35 a 39,3,1,1
3,2023,16/01/2023,22/01/2023,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Home,80 o més,2,1,1
34,2023,21/08/2023,27/08/2023,79,Barcelona Ciutat,79,Barcelona Ciutat,Dona,60 a 64,2,1,1
49,2022,05/12/2022,11/12/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Dona,70 a 74,2,1,1
5,2023,30/01/2023,05/02/2023,63,Terres de l'Ebre,63,Terres de l'Ebre,Dona,25 a 29,3,2,1
47,2022,21/11/2022,27/11/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,75 a 79,4,1,1
26,2023,26/06/2023,02/07/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Home,10 a 14,3,3,0
10,2023,06/03/2023,12/03/2023,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Home,20 a 24,3,2,2
7,2023,13/02/2023,19/02/2023,62,Camp de Tarragona,62,Camp de Tarragona,Home,40 a 44,4,1,1
39,2022,26/09/2022,02/10/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Home,55 a 59,3,2,2
26,2023,26/06/2023,02/07/2023,61,Lleida,61,Lleida,Home,65 a 69,2,1,0
50,2022,12/12/2022,18/12/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Home,55 a 59,4,1,1
13,2024,25/03/2024,31/03/2024,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Dona,50 a 54,3,2,1
39,2022,26/09/2022,02/10/2022,67,Catalunya Central,67,Catalunya Central,Dona,25 a 29,4,2,0
2,2023,09/01/2023,15/01/2023,67,Catalunya Central,67,Catalunya Central,Home,40 a 44,4,1,1
40,2022,03/10/2022,09/10/2022,62,Camp de Tarragona,62,Camp de Tarragona,Dona,50 a 54,4,3,2
44,2022,31/10/2022,06/11/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Home,40 a 44,1,1,1
20,2022,16/05/2022,22/05/2022,62,Camp de Tarragona,62,Camp de Tarragona,Home,60 a 64,3,2,2
30,2022,25/07/2022,31/07/2022,70,Penedès,70,Penedès,Dona,3 i 4,3,1,0
43,2022,24/10/2022,30/10/2022,61,Lleida,61,Lleida,Dona,65 a 69,4,1,0
26,2023,26/06/2023,02/07/2023,62,Camp de Tarragona,62,Camp de Tarragona,Home,60 a 64,2,1,1
40,2022,03/10/2022,09/10/2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Home,75 a 79,3,1,1
47,2022,21/11/2022,27/11/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Dona,75 a 79,1,1,0
45,2023,06/11/2023,12/11/2023,63,Terres de l'Ebre,63,Terres de l'Ebre,Home,60 a 64,3,1,1
9,2023,27/02/2023,05/03/2023,64,Girona,64,Girona,Home,5 a 9,3,1,1
10,2023,06/03/2023,12/03/2023,62,Camp de Tarragona,62,Camp de Tarragona,Home,60 a 64,3,1,1
39,2022,26/09/2022,02/10/2022,61,Lleida,61,Lleida,Dona,45 a 49,2,1,1
48,2022,28/11/2022,04/12/2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Dona,50 a 54,4,1,1
38,2023,18/09/2023,24/09/2023,61,Lleida,61,Lleida,Home,80 o més,2,1,0
48,2022,28/11/2022,04/12/2022,62,Camp de Tarragona,62,Camp de Tarragona,Home,5 a 9,3,2,2
10,2023,06/03/2023,12/03/2023,61,Lleida,61,Lleida,Dona,50 a 54,3,1,1
35,2023,28/08/2023,03/09/2023,64,Girona,64,Girona,Dona,20 a 24,3,1,1
13,2024,25/03/2024,31/03/2024,61,Lleida,61,Lleida,Home,10 a 14,3,3,0
47,2022,21/11/2022,27/11/2022,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Dona,35 a 39,2,1,1
35,2022,29/08/2022,04/09/2022,62,Camp de Tarragona,62,Camp de Tarragona,Dona,15 a 19,2,1,1
44,2023,30/10/2023,05/11/2023,61,Lleida,61,Lleida,Dona,1 i 2,4,1,1
7,2023,13/02/2023,19/02/2023,79,Barcelona Ciutat,79,Barcelona Ciutat,Dona,5 a 9,2,1,1
10,2023,06/03/2023,12/03/2023,64,Girona,64,Girona,Dona,70 a 74,3,2,1
49,2022,05/12/2022,11/12/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Dona,75 a 79,1,1,0
42,2022,17/10/2022,23/10/2022,64,Girona,64,Girona,Home,1 i 2,2,1,1
8,2023,20/02/2023,26/02/2023,70,Penedès,70,Penedès,Dona,5 a 9,3,2,2
24,2022,13/06/2022,19/06/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,5 a 9,3,1,1
37,2023,11/09/2023,17/09/2023,70,Penedès,70,Penedès,Dona,5 a 9,3,2,1
8,2023,20/02/2023,26/02/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,5 a 9,3,1,1
3,2023,16/01/2023,22/01/2023,62,Camp de Tarragona,62,Camp de Tarragona,Home,70 a 74,3,1,0
32,2023,07/08/2023,13/08/2023,64,Girona,64,Girona,Dona,35 a 39,3,1,1
35,2023,28/08/2023,03/09/2023,61,Lleida,61,Lleida,Dona,20 a 24,4,1,1
40,2022,03/10/2022,09/10/2022,61,Lleida,61,Lleida,Home,3 i 4,3,1,1
46,2022,14/11/2022,20/11/2022,79,Barcelona Ciutat,79,Barcelona Ciutat,Dona,3 i 4,2,1,1
25,2023,19/06/2023,25/06/2023,64,Girona,64,Girona,Home,65 a 69,3,1,0
27,2023,03/07/2023,09/07/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,70 a 74,4,1,0
8,2023,20/02/2023,26/02/2023,75,Barcelona Metropolitana Sud,75,Barcelona Metropolitana Sud,Home,40 a 44,2,2,2
52,2022,26/12/2022,01/01/2023,62,Camp de Tarragona,62,Camp de Tarragona,Home,80 o més,3,1,1
18,2023,01/05/2023,07/05/2023,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Home,50 a 54,4,2,2
34,2022,22/08/2022,28/08/2022,76,Barcelona Metropolitana Nord,76,Barcelona Metropolitana Nord,Dona,30 a 34,3,3,1
